HF_FNCLTY_MTRAL_RCOGN_NO,DAY_INTK_HIGHLIMIT,DAY_INTK_LOWLIMIT,WT_UNIT,RAWMTRL_NM,IFTKN_ATNT_MATR_CN,PRIMARY_FNCLTY
제2014-12호,8 (g),4 (g),g,히드록시프로필메틸셀룰로오스(기능성원료인정제2014-12호),(1) 과량 복용 시 약한 완하 작용 및 변비 주의 (2) 반드시 충분한 물과 함께 섭취할 것 (액상 제외),(국문) 식후 혈당상승 억제에 도움을 줄 수 있음 (생리활성기능 2등급)
제2014-14호,10 (g/일),10 (g/일),g/일,상엽추출물(기능성원료인정제2014-14호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취를 피할 것 
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 식후혈당 상승 억제에 도움을 줄 수 있음
(영문) May help to improve blood glucose levels"
제2014-17호,5 (g),5 (g),g,로즈힙분말(기능성원료인정제2014-17호),"(1) 알레르기 반응을 보이는 사람의 경우 섭취전 성분 확인 필요함 (2) 임산부, 수유부, 어린이의 섭취는 전문의와 상담 후 섭취를 권장함",(국문) 관절 및 연골건강에 도움을 줄 수 있음 (영문) May help to maintain healthy joint and cartilage
제2014-1호,"2,460 (mg)","2,460 (mg)",mg,헛개나무과병추출분말(기능성원료인정제2014-1호),(1) 임산부 및 수유부는 섭취를 피할 것 (2) 간 질환이 있거나 의약품 복용 시 전문가와 상담할 것 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,(국문) 알콜성 손상으로부터 간을 보호하는데 도움을 줄 수 있음 (영문) May help to liver health on alcoholic liver damage
제2014-22호,13 (g),13 (g),g,석류농축액(기능성원료인정제2014-22호),"(1) 어린이, 임산부와 수유부는 섭취를 피하는 것이 좋습니다. (2) 에스트로겐 호르몬에 민감한 사람은 섭취에 주의하시기 바랍니다.","(국문) 갱년기 여성의 건강에 도움을 줄 수 있음, 피부보습에 도움을 줄 수 있음, 자외선에 의한 피부 손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음 (영문) May help to menopausal women`s health, May help to maintain skin moisturizing, May help to maintain skin health from skindamage by UV radiation"
제2014-23호,"1,000 (mg)","1,000 (mg)",mg,보스웰리아 추출물(Boswellia serrata R. extract)(기능성원료인정제2014-23호),(1) 임산부 및 수유부는 섭취 시 주의,(국문) 관절 및 연골건강에 도움을 줄 수 있음 (영문) May help to maintain healthy joint and cartilage
제2014-25호,3 (g),3 (g),g,카카오분말(기능성원료인정제2014-25호),"(1) 제안된 일일섭취량 이상 과량 섭취하지 않도록 주의 (2) 임산부와 수유부, 카페인에 민감한 사람의 경우 섭취에 주의 (3) 특정 질병이 있는 경우 섭취 전에 의사와 상담",(국문) 혈관이완을 통한 혈행 개선에 도움을 줄 수 있음 (영문) May help to improve blood flow by vaso-relaxative action
제2014-26호,893 (mg),893 (mg),mg,CMO 함유 FAC(Fatty Acid Complex)(기능성원료인정제2014-26호),(1) 임산부 및 수유부는 섭취 시 주의,(국문) 관절 건강에 도움을 줄 수 있음 (영문) May help to maintain healthy joint and cartilage
제2014-27호,"1,000,000,000 (CFU/일)","1,000,000,000 (CFU/일)",CFU/일,UREX 프로바이오틱스(기능성원료인정제2014-27호),"* 유산균의 정성적 품질관리를 위해 식약처에 제시하신 방법으로 주기적으로 관리하여야 함. 또한 식약처 요청 시 시험방법 및 결과를 제출하여야 함
* [완제품 제조업체]
 - 제조국 : 이탈리아, - 제조회사명 : BIOFARMA S.R.L, - 소재지 : VIA CASTELLIERE, 2-33036 MERETO DI TOMBA (UD)
※「건강기능식품의 기준 및 규격」개정고시에 따른 프로바이오틱스 명칭 변경 사항의 시행일은 2024년 1월 1일임. 다만, 시행일 이전에 변경내용을 업체가 적용하고자 하는 경우 그 이전에도 적용할 수 있음","(국문) 질내 유익균 증식 및 유해균 억제에 도움을 줄 수 있음
(영문) May help to proliferate vaginal beneficial flora and to suppress pathogenic bacteria"
제2014-29호,300 (g),300 (g),g,무화과페이스트(기능성원료인정제2014-29호),(1) 무화과에 알레르기를 나타내는 사람은 섭취에 주의 (2) 과다 섭취 시 일시적인 복부팽만감을 느낄 수 있음,(국문) 배변활동 원활에 도움을 줄 수 있음 (생리활성기능 2등급)
제2014-2호,1 (g),1 (g),g,강황 추출물(터마신)(기능성원료인정제2014-2호),"(1) 영·유아, 임산부, 수유부는 섭취에 주의 (2) 강황 알레르기 체질이거나 특정질환(담낭질환 등)이 있는 분은 섭취에 주의 (3) 제안된 섭취량 이상 섭취 시 소화불량, 위장장애, 메스꺼움, 위산역류 등이 있을 수 있음",(국문) 관절건강에 도움을 줄 수 있음(생리활성기능 2등급)
제2014-30호,24 (ml),24 (ml),ml,적포도발효농축액(기능성원료인정제2014-30호),"(1) 유아, 어린이, 임산부 등 철의 필요량이 증가하는 연령층은 섭취에 주의",(국문) 콜레스테롤 개선에 도움을 줄 수 있음(생리활성기능 2등급)
제2014-31호,400 (mg),400 (mg),mg,그린커피빈추출물(기능성원료인정제2014-31호),"(1) 임산부와 수유기 여성, 유아, 어린이는 섭취에 주의 (2) 카페인이 함유되어 있어 초조감, 불면 등을 나타낼 수 있음",(국문) 체지방 감소에 도움을 줄 수 있음 (영문) May help to reduce body fat
제2014-32호,3 (g),3 (g),g,식물스타놀 에스테르(기능성원료인정제2014-32호),(1) 식물스타놀 에스테르는 지용성 비타민의 흡수를 저해할 수 있습니다,(국문) 높은 혈중 콜레스테롤 수치 개선에 도움을 줄 수 있음(생리활성기능 2등급)
제2014-34호,"1,000 (mg)",500 (mg),mg,파크랜 크랜베리 분말(기능성원료인정제2014-34호),(1) 일일섭취량 준수하여 섭취,(국문) 요로의 유해균 흡착 억제로 요로건강에 도움을 줄 수 있음(생리활성기능 2등급)
제2014-35호,"1,000 (mg)",500 (mg),mg,파크랜 크랜베리 분말(기능성원료인정제2014-35호),(1) 일일섭취량 준수하여 섭취,(국문) 요로의 유해균 흡착 억제로 요로건강에 도움을 줄 수 있음(생리활성기능 2등급)
제2014-36호,2 (g),1 (g),g,오메가-3 지방산 함유 유지(기능성원료인정제2014-36호),「건강기능식품 기능성 원료 및 기준?규격  인정에 관한 규정」 제10조제2항에 따라 「건강기능식품의 기준 및 규격」에 고시 예정임,(국문) 기억력 개선에 도움을 줄 수 있음(생리활성기능 2등급) (영문) May help to improve memory
제2014-39호,40 (mg),40 (mg),mg,닭가슴연골분말(UC-II)(기능성원료인정제2014-39호),"(1) 임산부, 수유부는 섭취 시 의사와 상담 (2) 복용중인 의약품이 있는 분은 섭취 시 의사와 상담",(국문) 관절건강에 도움을 줄 수 있음(생리활성기능 2등급)
제2014-40호,2 (g/일),2 (g/일),g/일,황기추출물 등 복합물(HT042)(기능성원료인정제2014-40호),"(1) 임산부 및 수유부는 섭취를 피할 것
(2) 특정원료에 알레르기가 있거나 장기간 또는 의약품 복용시 전문가와 상담할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것
(4) 키 성장에는 충분한 영양섭취, 적절한 수면, 건강한 생활습관ㆍ운동을 병행하여야 함","(국문) 어린이 키성장에 도움을 줄 수 있음
(영문) May help to children grow taller"
제2014-43호,"1,000 (mg)",600 (mg),mg,호박씨추출물 등 복합물(기능성원료인정제2014-43호),"(1) 영유아, 어린이, 임산부와 수유부는 섭취에 주의 (2) 호박씨, 대두에 알레르기를 나타내는 사람은 섭취에 주의 (3) 에스트로겐 호르몬에 민감한 사람은 섭취에 주의",(국문) 방광의 배뇨기능 개선에 도움을 줄 수 있음(생리활성기능 2등급)
제2014-44호,800 (mg),800 (mg),mg,참당귀 추출분말(Nutragen)(기능성원료인정제2014-44호),"(1) 소화불량, 속쓰림 등이 나타날 수 있습니다. (2) 혈액응고방지제 또는 혈당강하제를 복용하시는 분은 의사의 상담 하에 사용하여 주십시오.","(국문) 노화로 저하된 인지기능 개선에 도움을 줄 수 있음, 관절건강에 도움을 줄 수 있음 (영문) May help to improve cognitive function degraded by aging, May help to maintain healthy joint"
제2014-45호,6 (g),6 (g),g,L-arabinose(기능성원료인정제2014-45호),(1) 과도한 설탕의 섭취는 건강에 해로울 수 있음 (2) 본 원료를 과량으로 섭취하면 설사를 유발할 수 있음 (3) 당뇨병 치료를 받으시는 분은 의사와 상담 후 본 원료를 섭취할 것을 권장함,(국문) 설탕 소화흡수를 완만하게 하여 혈당조절에 도움을 줄 수 있음(생리활성기능 2등급)
제2014-46호,2 (g),2 (g),g,비파엽추출물(기능성원료인정제2014-46호),,(국문) 기억력 개선에 도움을 줄 수 있음(생리활성기능 2등급)
제2014-4호,150 (mg),150 (mg),mg,스페인감초추출물(기능성원료인정제2014-4호),"(1) 영・유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2) 특정 질환(알레르기 체질 등)이 있는 분은 섭취에 주의 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(국문) 위 점막 내 헬리코박터균(Helicobacter pylori) 증식을 억제하고 위 점막을 보호하여 위 건강에 도움을 줄 수 있음 (영문) May help to stomach health by protecting gastric mucosa and inhibiting proliferation of Helicobacter pylori in gastric mucosa.
제2014-50호,"1,050 (mg)","1,050 (mg)",mg,매스틱 검(기능성원료인정제2014-50호),"(1) 임산부, 수유부 및 어린이는 섭취에 주의",(국문) 위 불편감 개선에 도움을 줄 수 있음(생리활성기능 2등급)
제2014-51호,"1,425 (mg)","1,425 (mg)",mg,구기자추출물(기능성원료인정제2014-51호),"(1) 영유아 및 임산부, 수유부는 의사와 상담 후 섭취",(국문) 기억력 개선에 도움을 줄 수 있음(생리활성기능 2등급)
제2014-57호,22 (ml),22 (ml),ml,발효식초석류복합물(기능성원료인정제2014-57호),(1) 임산부와 수유부는 섭취에 주의 (2) 공복에 섭취하거나 과다 섭취 시 속쓰림 등 위에 자극을 느낄 수 있음,(국문) 체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급) (영문) May help to reduce body fat
제2014-5호,"10,000,000,000 (CFU)","10,000,000,000 (CFU)",CFU,Lactobacillus gasseri BNR17(기능성원료인정제2014-5호),(1) 산성도가 낮은 음료나 뜨거운 물과 함께 복용하는 것을 피하는 것이 좋음,(국문) 체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급)
제2014-64호,1 (g),1 (g),g,옻나무 추출분말(기능성원료인정제2014-64호),,(국문) 갱년기 남성의 건강에 도움을 줄 수 있음(생리활성기능 2등급)
제2014-6호,(mg/g),(mg/g),mg/g,중쇄지방산(MCFA)함유 유지(기능성원료인정제2014-6호),,(국문) 이 제품은 중쇄지방산을 함유하고 있어 다른 식용유와 비교하였을 때 체지방 증가가 적을 수 있음(생리활성기능 2등급) (영문) May help to reduce body fat
제2014-7호,1 (g),1 (g),g,보이차추출물(기능성원료인정제2014-7호),"(1) 카페인이 함유되어 있어 초조감, 불면 등을 나타낼 수 있음 (2) 임산부, 수유여성, 어린이, 질병치료 중인 환자는 섭취에 주의","(국문) 체지방 감소에 도움을 줄 수 있음, 혈중 콜레스테롤 개선에 도움을 줄 수 있음(생리활성기능 2등급)"
제2014-8호,60 (mg),40 (mg),mg,옥수수배아추출물(기능성원료인정제2014-8호),"(1) 영·유아, 임산부와 수유부는 섭취에 주의 (2) 알레르기 체질이거나 특정질환이 있는 분은 섭취 전 의사와 상담",(국문) 피부보습에 도움을 줄 수 있음(생리활성기능2등급)
제2014-9호,"1,000 (mg)",500 (mg),mg,올리브잎주정추출물(기능성원료인정제2014-9호),"(1) 위, 간 및 신장 질환이 있거나 고혈압치료제 등 복용시 전문가와 상의할 것 (2) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(국문) 혈압 조절에 도움을 줄 수 있음 (영문) May help to maintain healthy blood pressure
제2015-10호,3 (g),3 (g),g,콩․보리 발효복합물(기능성원료인정제2015-10호),"(1) 영․유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2) 알레르기 체질이거나 특정질환이 있는 분은 섭취 전 의사와 상담 (3) 에스트로겐 호르몬에 민감한 사람은 섭취에 주의",(국문) 피부 보습에 도움을 줄 수 있음 (생리활성기능 2등급)
제2015-11호,6 (g),6 (g),g,인삼다당체추출물(기능성원료인정제2015-11호),"(1) 특이체질 또는 알레르기 체질인 경우에는 성분을 확인한 후 섭취 (2) 의약품(당뇨치료제, 혈액항응고제) 복용 시 섭취에 주의",(국문) 면역기능 증진에 도움을 줄 수 있음 (생리활성기능 2등급)
제2015-14호,300 (mg),300 (mg),mg,아프리카망고 종자추출물(IGOB131)(기능성원료인정제2015-14호),(1) 임산부 및 수유 여성은 섭취에 주의,(국문) 체지방 감소에 도움을 줄 수 있음 (영문) May help to reduce body fat
제2015-16호,40 (mg),40 (mg),mg,유단백추출물(기능성원료인정제2015-16호),(1) 우유 알레르기를 나타내는 사람은 섭취 시 주의,(국문) 뼈 건강에 도움을 줄 수 있음 (영문) May help to maintain healthy bone
제2015-17호,1 (g),1 (g),g,천마 등 복합추출물(HX106)(기능성원료인정제2015-17호),(1) 임산부와 수유부는 섭취에 주의,(국문) 기억력 개선에 도움을 줄 수 있음 (영문) May help to improve memory
제2015-18호,30 (mg),30 (mg),mg,밀배유추출물(기능성원료인정제2015-18호),"(1) 임신, 수유부는 섭취를 권하지 않음 (2) 밀 알레르기를 나타내는 사람은 섭취에 주의",(국문) 피부 보습에 도움을 줄 수 있음 (영문) May help to maintain skin moisturizing
제2015-19호,6 (g/일),6 (g/일),g/일,L-아르기닌(제2015-19호),"(1) 임산부 및 수유부는 섭취에 주의 
(2) 저단백질 식사를 하고 있을 경우 또는 천식, 심장계 질환이 있을 경우 의사와 상의하여 섭취할 것을 권장","(국문) · 혈관이완을 통해 혈행 개선에 도움을 줄 수 있음
· 피로 개선에 도움을 줄 수 있음
(영문) · May help to improve blood flow by vaso-relaxative action
· May help to reduce fatigue"
제2015-1호,"10,000,000,000 (CFU)","10,000,000,000 (CFU)",CFU,프로바이오틱스 HY7714(기능성원료인정제2015-1호),"(1)영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2)특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 (3)이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 피부 보습에 도움을 줄 수 있음, 자외선에 의한 피부손상으로부터 피부 건강 유지에 도움을 줄 수 있음 (영문) May help to moisturize (dry) skin, May help to maintain skin health from skin damage by UV"
제2015-22호,200 (mg),200 (mg),mg,까마귀쪽나무 열매 주정추출물(기능성원료인정제2015-22호),,(국문) 관절건강에 도움을 줄 수 있음(생리활성기능 2등급)
제2015-23호,200 (mg),200 (mg),mg,까마귀쪽나무 열매 주정추출물(기능성원료인정제2015-23호),,(국문) 관절건강에 도움을 줄 수 있음(생리활성기능 2등급)
제2015-28호,2 (g),2 (g),g,석류추출물(기능성원료인정제2015-28호),(1) 임산부와 수유부는 섭취를 피하는 것이 좋습니다. (2) 항혈전제를 복용하시는 분은 의사와 상의하시기 바랍니다. (3) 에스트로겐 호르몬에 민감한 사람은 섭취에 주의하시기 바랍니다.,(국문) 갱년기 여성의 건강에 도움을 줄 수 있음 (영문) May help to menopausal women`s health
제2015-6호,500 (mg/일),500 (mg/일),mg/일,감태추출물(제2015-6호),"(1) 영‧유아, 어린이, 임산부 및 수유부는 섭취를 피할 것 
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의할 것
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것 
(4) 요오드 함량이 높은 식품(해조류, 어패류 등)과 섭취 시 주의할 것
(5) 갑상선질환, 위장관 장애(질환) 등을 보유하고 있는 사람은 섭취를 주의할 것","(국문) ․수면의 질 개선에 도움을 줄 수 있음
       ․스트레스로 인한 긴장완화에 도움을 줄 수 있음
(영문) ․May help to improve sleep quality
       ․May help to relaxation of tension by stress"
제2015-7호,400 (mg),400 (mg),mg,돌외잎추출물(기능성원료인정제2015-7호),"(1) 과량 섭취 시 위장장애(구토와 위장운동 증가)가 발생할 수 있음 (2) 아스피린, 혈액항응고제 복용 시 섭취에 주의",(국문) 스트레스로 인한 긴장완화에 도움을 줄 수 있음 (영문) May help to relaxation of tension by stress
제2015-9호,600 (mg),600 (mg),mg,풋사과추출물 애플페논(Applephenon)(기능성원료인정제2015-9호),(1) 사과에 알레르기가 있으신 분은 섭취 시 주의,(국문) 체지방 감소에 도움을 줄 수 있음(생리활성기능 2등급)
제2016-10호,"2,460 (mg)","2,460 (mg)",mg,헛개나무과병추출분말(기능성원료인정제2016-10호),(1) 임산부 및 수유부는 섭취를 피할 것 (2) 간 질환이 있는 경우 전문가와 상담할 것 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것,(국문) 알콜성 손상으로부터 간을 보호하는데 도움을 줄 수 있음 (영문) May help to liver health on alcoholic liver damage
제2016-11호,150 (ml),150 (ml),ml,창녕양파추출액(기능성원료인정제2016-11호),,(국문) 혈중 콜레스테롤 개선에 도움을 줄 수 있음(생리활성기능 2등급)
제2016-16호,2 (g/일),2 (g/일),g/일,유산균발효마늘추출분말(제2016-16호),-,"(국문) 간건강에 도움을 줄 수 있음
(영문) May help protect liver"
제2016-21호,783 (mg),783 (mg),mg,오미자추출물(기능성원료인정제2016-21호),,(국문) 갱년기 여성 건강에 도움을 줄 수 있음(생리활성기능 2등급)
제2017-3호,800 (mg),400 (mg),mg,허니부쉬추출발효분말(기능성원료인정제2017-3호),"(1) 어린이, 임산부, 수유부는 섭취에 주의 (2) 유당불내증이 있는 사람은 섭취에 주의",(국문) 자외선에 의한 피부손상으로부터 피부 건강 유지에 도움을 줄 수 있음 (영문) May help to maintain skin health from skin damage by UV radiation
제2017-5호,400 (mg),400 (mg),mg,호로파종자 등 추출복합물(기능성원료인정제2017-5호),(1) 땅콩 알레르기가 있는 사람은 섭취에 주의,(국문) 남성의 갱년기 건강에 도움을 줄 수 있음 (영문) May help to climacteric men`s health
제2017-6호,"10,000,000,000 (CFU)","10,000,000,000 (CFU)",CFU,Lactobacillus gasseri BNR17(기능성원료인정제2017-6호),(1) 산성도가 낮은 음료나 뜨거운 물과 함께 복용하는 것을 피하는 것이 좋음,(국문) 체지방 감소에 도움을 줄 수 있음(생리활성기능) (영문) May help to reduce body fat
제2018-10호,750 (mg/일),750 (mg/일),mg/일,키토올리고당(기능성원료인정제2018-10호),"(가)어린이, 임산부 및 수유부는 섭취를 피할 것
(나)게 또는 새우에 알레르기가 있는 사람은 섭취에 주의(게 또는 새우를 원재료로 사용한 경우에 한함)
(다)이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(국문) 식후혈당 감소에 도움을 줄 수 있음 (영문) May help to maintain healthy blood glucose level
제2018-11호,24 (mg),12 (mg),mg,루테인지아잔틴복합추출물(기능성원료인정제2018-11호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2) 과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음",(국문) 노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈건강에 도움을 줄 수 있음 (영문) May help the eye health by maintaining the density of macular pigments which can be decreased by aging
제2018-12호,400 (mg/일),400 (mg/일),mg/일,L. rhamnosus IDCC 3201 열처리배양건조물(RHT®)(제2018-12호),"(1) 어린이, 임산부 및 수유부는 섭취에 주의
(2) 알레르기 체질이신 경우 섭취시 주의
(3) 질병으로 인하여 치료중인 분은 의사 또는 약사와 상담이 필요함","(국문) 면역과민반응에 의한 피부상태 개선에 도움을 줄 수 있음 
(영문) May help to improve skin condition of immune hypersensitivity reaction"
제2018-13호,"1,000 (mg)","1,000 (mg)",mg,우슬 등 복합물(HL-Joint100)(기능성원료인정제2018-13호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2) 에스트로겐 호르몬에 민감한 사람은 섭취에 주의",(국문) 관절 및 연골건강에 도움을 줄 수 있음 (영문) May help to maintain healthy joint and cartilage
제2018-14호,300 (mg),300 (mg),mg,시서스추출물(기능성원료인정제2018-14호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2) 의약품(혈당강하제) 복용 시 섭취에 주의",(국문) 체지방 감소에 도움을 줄 수 있음(생리활성기능) (영문) May help to reduce body fat
제2018-1호,420 (mg),420 (mg),mg,곰피추출물(기능성원료인정제2018-1호),"(1) 임산부, 수유부 및 12세 이하 어린이는 섭취 시 주의 (2) 요오드 함량이 높은 식품(해조류, 어패류 등)과 병용 섭취 시 주의 (3) 갑상선질환 등을 보유하고 있는 사람은 섭취 시 주의",(국문) 간 건강에 도움을 줄 수 있음 (영문) May help to liver health
제2018-2호,240 (mg),160 (mg),mg,빌베리 추출물(기능성원료인정제2018-2호),,(국문) 눈의 피로 개선에 도움을 줄 수 있음 (영문) May help to improve eye fatigue
제2018-3호,1 (g),1 (g),g,미강주정추출물(기능성원료인정제2018-3호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2) 의약품(항히스타민제 또는 중추신경계억제제)과 병용섭취 시 주의",(국문) 수면에 도움을 줄 수 있음 (영문) May help to sleep
제2018-4호,20 (mg/일),10 (mg/일),mg/일,루테인지아잔틴복합추출물(기능성원료인정제2018-4호),"(1) 영유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 흡연자는 섭취 시 전문가와 상담할 것
(3) 과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음
(4) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) ① 노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줄 수 있음
② 건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음
(영문) ① May help the eye health by maintaining the density of macular pigments which can be decreased by aging
② May help to maintain eyes healthy by relieving dryness"
제2018-5호,3 (g),3 (g),g,세리포리아 락세라타 균사체 배양물(기능성원료인정제2018-5호),"(1) 유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2) 알레르기 체질이거나 특정질환이 있는 분은 섭취 전 의사와 상담",(국문) 혈당조절에 도움을 줄 수 있음 (영문) May help to maintain healthy blood glucose level
제2018-6호,500 (mg),500 (mg),mg,그린커피빈주정추출물(기능성원료인정제2018-6호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2) 카페인이 함유되어 있어 초조감, 불면 등을 나타낼 수 있음",(국문) 체지방 감소에 도움을 줄 수 있음 (영문) May help to reduce body fat
제2018-8호,1 (g),1 (g),g,석류농축분말(기능성원료인정제2018-8호),"(1) 영·유아, 어린이, 임산부와 수유부는 섭취에 주의 (2) 에스트로겐 호르몬에 민감한 사람은 섭취에 주의","(국문) 피부 보습에 도움을 줄 수 있음, 자외선에 의한 피부 손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음 (영문) Help to maintain skin moisturizing, Help to maintain skin health from skin damage by UV radiation"
제2018-9호,"1,582 (mg)","1,582 (mg)",mg,오미자추출물(기능성원료인정제2018-9호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2) 수술 전․후 섭취에 주의 (3) 식사조절, 운동을 병행하는 것이 바람직함",(국문) 근력 개선에 도움을 줄 수 있음 (영문) Help to improve muscle strength
제2019-10호,240 (mg),160 (mg),mg,빌베리 추출물(기능성원료인정제2019-10호),,(국문) 눈의 피로 개선에 도움을 줄 수 있음 (영문) May help to improve eye fatigue
제2019-11호,2 (g),2 (g),g,오가피열매추출물(기능성원료인정제2019-11호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2) 특정질환(알레르기 체질, 간·신장 질환 환자 등)이 있는 분은 섭취에 주의 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(국문) 혈압조절에 도움을 줄 수 있음 (영문) May help to regulate blood pressure
제2019-12호,"3,270 (mg)","3,270 (mg)",mg,피쉬 콜라겐펩타이드(기능성원료인정제2019-12호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) 자외선에 의한 피부손상으로부터 피부건강을 유지하는데 도움을 줄 수 있음, 피부보습에 도움을 줄 수 있음 (영문) May help to maintain skin health from skin damage by UV radiation, May help to maintain skin moisturizing"
제2019-13호,2 (g),2 (g),g,쑥부쟁이추출분말(기능성원료인정제2019-13호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2) 국화과에 알레르기를 나타내는 사람은 섭취에 주의 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(국문) 면역과민반응에 의한 코상태 개선에 도움을 줄 수 있음 (영문) May help to improve nasal condition caused by hypersensitivity reaction
제2019-14호,250 (mg),250 (mg),mg,인동덩굴꽃봉오리추출물(그린세라-F)(기능성원료인정제2019-14호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(국문) 위 점막을 보호하여 위 건강에 도움을 줄 수 있음 (영문) May help to maintain healthy stomach by protecting gastric mucosa
제2019-15호,600 (mg),600 (mg),mg,호로파종자추출물(TestofenⓇ)(기능성원료인정제2019-15호),"(1) 땅콩 알레르기가 있는 사람은 섭취에 주의 (2) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 (3) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 (4) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(국문) 갱년기 남성 건강에 도움을 줄 수 있음 (영문) May help to climacteric men`s health
제2019-16호,20 (mg/일),10 (mg/일),mg/일,루테인지아잔틴복합추출물(제2019-16호),"(1) 영유아, 어린이, 임산부 및 수유부는 섭취를 피할 것
(2) 흡연자는 섭취 시 전문가와 상담할 것
(3) 과다 섭취 시 일시적으로 피부가 황색으로 변할 수 있음
(4) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) ① 노화로 인해 감소될 수 있는 황반색소밀도를 유지하여 눈 건강에 도움을 줄 수 있음
② 건조한 눈을 개선하여 눈 건강에 도움을 줄 수 있음
(영문) ① May help the eye health by maintaining the density of macular pigments which can be decreased by aging
② May help to maintain eyes healthy by relieving dryness"
제2019-17호,500 (mg),500 (mg),mg,차즈기추출물(기능성원료인정제2019-17호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(국문) 눈의 피로도 개선에 도움을 줄 수 있음 (영문) May help to improve eye fatigue
제2019-18호,480 (mg),480 (mg),mg,쇠비름주정추출분말(KDC16-2)(기능성원료인정제2019-18호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 (2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의 (3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것",(국문) 배변활동 원활에 도움을 줄 수 있음 (영문) May help to improve bowel movements
제2019-19호,"1,960 (mg/일)","1,960 (mg/일)",mg/일,댕댕이나무열매(허니베리)추출분말(제2019-19호),"(1) 영·유아, 어린이, 임산부 및 수유부는 섭취에 주의 
(2) 특정질환(알레르기 체질 등)이 있는 분은 섭취에 주의
(3) 이상사례 발생 시 섭취를 중단하고 전문가와 상담할 것","(국문) ① 비알콜성 간 손상으로부터 간 건강에 도움을 줄 수 있음
         ② 체지방 감소에 도움을 줄 수 있음
(영문) ① May help to liver health by non-alcoholic liver injury
         ② May help to reduce body fat"
